respId,submitTime,marketCubeId,zip,age,gender,ethnicity,targetId,targetConstruct,targetIntensity,constructImage,constructImagePosition,foilImage,foilConstruct,foilIntensity,foilImagePosition,userSelection,correct,answerBreakdown,numResponses,percentCorrect,count
 33,Dec 21, 2017 10:37:09 AM,3207c694-9a08-440d-8680-5ebfc0b09dbc,75071,30,1,1,1,Love,1.0,Love_1.0,0,Regret_1.0,Regret,1.0,2,0,1,1,16,0.5625,1
 34,Dec 21, 2017 10:37:27 AM,42ad5de0-a51f-4abe-ab4d-a9138e1c44d2,63129,57,1,1,1,Dislike,0.2,Dislike_0.2,2,Distress_0.2,Distress,0.2,0,0,0,0,16,0.75,1
 35,Dec 21, 2017 10:36:27 AM,10692127-09e1-4da7-9129-d2fc9bd5233b,52302,42,2,1,1,Love,1.0,Love_1.0,0,Relief_1.0,Relief,1.0,2,0,1,1,16,0.625,1
 36,Dec 21, 2017 10:37:48 AM,fae4e793-c955-4ca0-b7a5-55a2d9154b5e,5404,30,1,1,1,Contempt,1.0,Contempt_1.0,0,Pride_1.0,Pride,1.0,2,2,0,0,16,0.75,1
 37,Dec 21, 2017 10:37:52 AM,fd4510f7-309c-4fa7-900c-570429cc10a1,86305,55,2,1,1,Relief,1.0,Relief_1.0,2,Frustration_1.0,Frustration,1.0,0,2,1,1,16,0.75,1
 38,Dec 21, 2017 10:38:28 AM,4d3f549a-378c-4c7a-8248-9cfbd175995d,11793,53,2,1,1,Frustration,1.0,Frustration_1.0,2,Love_1.0,Love,1.0,0,2,1,1,16,0.6875,1
 39,Dec 21, 2017 10:38:44 AM,e8e51992-3202-4f50-9794-0bcc8a2928d8,10025,63,1,7,1,Pride,0.2,Pride_0.2,0,Frustration_0.2,Frustration,0.2,2,1,0,2,16,0.4375,1
 40,Dec 21, 2017 10:37:43 AM,5ea65c52-11cb-4cd2-ba6e-b658d4809af0,48708,32,2,1,1,Frustration,0.2,Frustration_0.2,2,Contempt_0.2,Contempt,0.2,0,1,0,2,16,0.4375,1
 41,Dec 21, 2017 10:38:17 AM,bae035f6-9b30-44b7-9284-7eab3bfd442b,96793,65,1,3,1,Love,1.0,Love_1.0,0,Contempt_1.0,Contempt,1.0,2,0,1,1,16,0.4375,1
 42,Dec 21, 2017 10:39:06 AM,28a68ae1-f48a-4b16-9800-4f1ed3e1c107,60068,41,1,1,1,Frustration,1.0,Frustration_1.0,0,Regret_1.0,Regret,1.0,2,0,1,1,16,0.625,1
 43,Dec 21, 2017 10:39:16 AM,e83d2502-edfb-4a04-9277-2aaac75e1053,37167,48,2,1,1,Love,1.0,Love_1.0,2,Frustration_1.0,Frustration,1.0,0,2,1,1,16,0.8125,1
 44,Dec 21, 2017 10:39:20 AM,dac838cd-86ef-42de-a829-890faa2a2543,92026,57,2,1,1,Pride,1.0,Pride_1.0,0,Distress_1.0,Distress,1.0,2,0,1,1,16,0.75,1
 45,Dec 21, 2017 10:39:42 AM,830c1444-343e-4935-b1a0-fb60e92c9223,29907,19,2,1,1,Pride,0.2,Pride_0.2,0,Love_0.2,Love,0.2,2,2,0,0,16,0.6875,1
 46,Dec 21, 2017 10:39:43 AM,a08034f2-035b-496a-8366-97c76fbd454d,77098,24,2,1,1,Relief,1.0,Relief_1.0,0,Frustration_1.0,Frustration,1.0,2,0,1,1,16,0.5625,1
 47,Dec 21, 2017 10:39:56 AM,bf18d0a2-2bf2-4a71-91dc-faa0d1f568ad,78058,49,2,1,1,Regret,1.0,Regret_1.0,2,Contempt_1.0,Contempt,1.0,0,2,1,1,16,0.75,1
 48,Dec 21, 2017 10:40:20 AM,23df5b80-2efa-42ea-8e1b-3b6cd6be8be9,50315,36,2,1,1,Love,1.0,Love_1.0,0,Regret_1.0,Regret,1.0,2,0,1,1,16,0.5625,1
 49,Dec 21, 2017 10:38:55 AM,811d6ffb-7fb3-467a-a9d4-7272d02340b5,97520,29,2,6,1,Pride,1.0,Pride_1.0,0,Contempt_1.0,Contempt,1.0,2,1,0,2,16,0.5625,1
 50,Dec 21, 2017 10:39:27 AM,2508716f-3abb-46ff-9e76-3da7051db868,24153,55,2,1,1,Distress,1.0,Distress_1.0,2,Frustration_1.0,Frustration,1.0,0,2,1,1,16,0.6875,1
 51,Dec 21, 2017 10:39:55 AM,24ea013b-c837-4f74-8523-1c96135117c9,18507,57,2,1,1,Pride,1.0,Pride_1.0,0,Frustration_1.0,Frustration,1.0,2,0,1,1,16,0.5,1
 52,Dec 21, 2017 10:39:46 AM,f147593a-f5d8-4658-acd7-d5c2c205df6b,49546,39,1,3,1,Love,1.0,Love_1.0,0,Frustration_1.0,Frustration,1.0,2,0,1,1,16,0.4375,1
 53,Dec 21, 2017 10:39:07 AM,bf2b71dd-7662-4438-83be-24be4b94cf45,6608,41,2,1,1,Regret,1.0,Regret_1.0,0,Dislike_1.0,Dislike,1.0,2,0,1,1,16,0.8125,1
 54,Dec 21, 2017 10:39:06 AM,80fbeddf-57a5-4532-8bd6-e18822b1b31f,40356,55,2,1,1,Dislike,1.0,Dislike_1.0,0,Contempt_1.0,Contempt,1.0,2,2,0,0,16,0.5,1
 55,Dec 21, 2017 10:39:25 AM,1fc24260-87ea-4c41-87ee-f043d96d5c28,59457,46,2,1,1,Dislike,0.2,Dislike_0.2,2,Regret_0.2,Regret,0.2,0,2,1,1,16,0.75,1
 56,Dec 21, 2017 10:39:30 AM,a14c9f8d-0365-4f82-86b2-a8ab28dfe20a,92084,61,2,4,1,Frustration,0.2,Frustration_0.2,0,Regret_0.2,Regret,0.2,2,0,1,1,16,0.6875,1
 57,Dec 21, 2017 10:40:15 AM,b14bf363-b243-4a5f-b1ff-40a6847b8d9b,28209,25,2,1,1,Dislike,1.0,Dislike_1.0,0,Frustration_1.0,Frustration,1.0,2,0,1,1,16,0.625,1
 58,Dec 21, 2017 10:40:18 AM,1455dde4-7cfb-4a7b-b0c2-594f5d9d353f,76712,62,1,1,1,Regret,1.0,Regret_1.0,2,Love_1.0,Love,1.0,0,2,1,1,16,0.6875,1
